idx,algo_name,accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,error-rate,retrained,inference_time,training_time,num_train_data
0,MLP-NoRetrain,0.7445,0.5092775467775468,10,1479,1,510,0.25549999999999995,True,0.0006279945373535156,0.27814817428588867,8000
1,MLP-NoRetrain,0.6955,0.5,0,1391,0,609,0.3045,True,0.0005483627319335938,1.1920928955078125e-06,0
2,MLP-NoRetrain,0.604,0.5012594458438288,2,1206,0,792,0.396,True,0.0004658699035644531,1.1920928955078125e-06,0
3,MLP-NoRetrain,0.6855,0.5007936507936508,1,1370,0,629,0.3145,True,0.0006077289581298828,1.430511474609375e-06,0
4,MLP-NoRetrain,0.607,0.501269035532995,2,1212,0,786,0.393,True,0.00046563148498535156,1.430511474609375e-06,0
5,MLP-NoRetrain,0.6045,0.5008487189778581,2,1207,1,790,0.39549999999999996,True,0.0006072521209716797,9.5367431640625e-07,0
6,MLP-NoRetrain,0.6115,0.5006426735218509,1,1222,0,777,0.38849999999999996,True,0.00046443939208984375,1.1920928955078125e-06,0
7,MLP-NoRetrain,0.6245,0.5,0,1249,0,751,0.37549999999999994,True,0.0006084442138671875,1.430511474609375e-06,0
8,MLP-NoRetrain,0.571,0.4997085399330917,1,1141,2,856,0.42900000000000005,True,0.006540060043334961,1.1920928955078125e-06,0
9,MLP-NoRetrain,0.617,0.500651890482399,1,1233,0,766,0.383,True,0.0006058216094970703,1.1920928955078125e-06,0
10,MLP-NoRetrain,0.612,0.5012853470437018,2,1222,0,776,0.388,True,0.0004634857177734375,1.1920928955078125e-06,0
11,MLP-NoRetrain,0.617,0.5,0,1234,0,766,0.383,True,0.0006079673767089844,7.152557373046875e-07,0
12,MLP-NoRetrain,0.593,0.5,0,1186,0,814,0.40700000000000003,True,0.00046443939208984375,1.1920928955078125e-06,0
13,MLP-NoRetrain,0.5555,0.5,0,1111,0,889,0.4445,True,0.0006122589111328125,1.1920928955078125e-06,0
14,MLP-NoRetrain,0.6415,0.5013908205841446,2,1281,0,717,0.35850000000000004,True,0.0004642009735107422,1.1920928955078125e-06,0
15,MLP-NoRetrain,0.5455,0.5,0,1091,0,909,0.4545,True,0.000606536865234375,7.152557373046875e-07,0
16,MLP-NoRetrain,0.6135,0.5,0,1227,0,773,0.38649999999999995,True,0.00046133995056152344,9.5367431640625e-07,0
17,MLP-NoRetrain,0.619,0.5026109660574413,4,1234,0,762,0.381,True,0.0006093978881835938,9.5367431640625e-07,0
18,MLP-NoRetrain,0.607,0.5019011406844106,3,1211,0,786,0.393,True,0.00047516822814941406,7.152557373046875e-07,0
19,MLP-NoRetrain,0.5995,0.5012453300124533,2,1197,0,801,0.40049999999999997,True,0.0006134510040283203,1.1920928955078125e-06,0
20,MLP-NoRetrain,0.61,0.5025510204081632,4,1216,0,780,0.39,True,0.0004630088806152344,7.152557373046875e-07,0
21,MLP-NoRetrain,0.6295,0.500555246489781,2,1257,2,739,0.37050000000000005,True,0.0006062984466552734,9.5367431640625e-07,0
22,MLP-NoRetrain,0.617,0.500651890482399,1,1233,0,766,0.383,True,0.0004718303680419922,1.1920928955078125e-06,0
23,MLP-NoRetrain,0.674,0.5007656967840735,1,1347,0,652,0.32599999999999996,True,0.0006110668182373047,9.5367431640625e-07,0
24,MLP-NoRetrain,0.595,0.5006165228113441,1,1189,0,810,0.405,True,0.0004642009735107422,7.152557373046875e-07,0
25,MLP-NoRetrain,0.5895,0.500792096794848,2,1177,1,820,0.4105,True,0.0006191730499267578,1.1920928955078125e-06,0
26,MLP-NoRetrain,0.669,0.5,0,1338,0,662,0.33099999999999996,True,0.00046324729919433594,9.5367431640625e-07,0
27,MLP-NoRetrain,0.5955,0.503680981595092,6,1185,0,809,0.40449999999999997,True,0.0006046295166015625,1.1920928955078125e-06,0
28,MLP-NoRetrain,0.6155,0.5045103092783505,7,1224,0,769,0.38449999999999995,True,0.0004601478576660156,9.5367431640625e-07,0
29,MLP-NoRetrain,0.5905,0.5030339805825242,5,1176,0,819,0.4095,True,0.0006070137023925781,1.1920928955078125e-06,0
30,MLP-NoRetrain,0.6185,0.5015559260141303,3,1234,1,762,0.38149999999999995,True,0.00046372413635253906,9.5367431640625e-07,0
31,MLP-NoRetrain,0.6495,0.5021306818181818,3,1296,0,701,0.35050000000000003,True,0.0006103515625,1.1920928955078125e-06,0
32,MLP-NoRetrain,0.618,0.5022020469255407,4,1232,1,763,0.382,True,0.0004665851593017578,9.5367431640625e-07,0
33,MLP-NoRetrain,0.6375,0.5034246575342466,5,1270,0,725,0.36250000000000004,True,0.0006103515625,7.152557373046875e-07,0
34,MLP-NoRetrain,0.671,0.5030211480362538,4,1338,0,658,0.32899999999999996,True,0.00046443939208984375,9.5367431640625e-07,0
35,MLP-NoRetrain,0.5815,0.5023781212841855,4,1159,0,837,0.4185,True,0.0005967617034912109,7.152557373046875e-07,0
36,MLP-NoRetrain,0.652,0.5042735042735043,6,1298,0,696,0.348,True,0.0004596710205078125,7.152557373046875e-07,0
37,MLP-NoRetrain,0.601,0.5031133250311333,5,1197,0,798,0.399,True,0.0007648468017578125,1.1920928955078125e-06,0
38,MLP-NoRetrain,0.5695,0.5005800464037123,1,1138,0,861,0.4305,True,0.00046133995056152344,1.1920928955078125e-06,0
39,MLP-NoRetrain,0.7085,0.5008561643835616,1,1416,0,583,0.2915,True,0.0006089210510253906,9.5367431640625e-07,0
40,MLP-NoRetrain,0.5915,0.5026209787811261,5,1178,1,816,0.4085,True,0.0004649162292480469,1.1920928955078125e-06,0
