idx,algo_name,accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,error-rate,retrained,inference_time,training_time,num_train_data
0,MLP-NoRetrain,1.0,1.0,135,65,0,0,0.0,True,0.00035953521728515625,0.36231112480163574,800
1,MLP-NoRetrain,1.0,1.0,156,44,0,0,0.0,True,0.00019621849060058594,1.1920928955078125e-06,0
2,MLP-NoRetrain,0.99,0.9705882352941176,166,32,2,0,0.010000000000000009,True,0.00018668174743652344,1.430511474609375e-06,0
3,MLP-NoRetrain,0.99,0.9411764705882353,183,15,2,0,0.010000000000000009,True,0.0001862049102783203,9.5367431640625e-07,0
4,MLP-NoRetrain,0.925,0.7222222222222222,173,12,15,0,0.07499999999999996,True,0.00018167495727539062,1.1920928955078125e-06,0
5,MLP-NoRetrain,0.76,0.5471698113207547,147,5,48,0,0.24,True,0.00018310546875,9.5367431640625e-07,0
6,MLP-NoRetrain,1.0,1.0,93,107,0,0,0.0,True,0.00019812583923339844,9.5367431640625e-07,0
7,MLP-NoRetrain,0.995,0.9929577464788732,129,70,1,0,0.0050000000000000044,True,0.00018715858459472656,1.9073486328125e-06,0
8,MLP-NoRetrain,1.0,1.0,159,41,0,0,0.0,True,0.00017786026000976562,7.152557373046875e-07,0
9,MLP-NoRetrain,0.995,0.9852941176470588,166,33,1,0,0.0050000000000000044,True,0.0001761913299560547,4.76837158203125e-07,0
10,MLP-NoRetrain,0.995,0.9666666666666667,185,14,1,0,0.0050000000000000044,True,0.0001766681671142578,7.152557373046875e-07,0
11,MLP-NoRetrain,0.94,0.6842105263157895,181,7,12,0,0.06000000000000005,True,0.00017786026000976562,4.76837158203125e-07,0
12,MLP-NoRetrain,0.775,0.53125,152,3,45,0,0.22499999999999998,True,0.00017690658569335938,7.152557373046875e-07,0
13,MLP-NoRetrain,0.995,0.9946236559139785,107,92,1,0,0.0050000000000000044,True,0.00017762184143066406,7.152557373046875e-07,0
14,MLP-NoRetrain,0.995,0.9935064935064934,123,76,1,0,0.0050000000000000044,True,0.0001761913299560547,4.76837158203125e-07,0
