idx,algo_name,accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,error-rate,retrained,inference_time,training_time,num_train_data
0,MLP-NoRetrain,0.99,0.9864864864864865,126,72,2,0,0.010000000000000009,True,0.000301361083984375,0.3717041015625,800
1,MLP-NoRetrain,0.965,0.9666163304929349,122,71,2,5,0.03500000000000003,True,0.00018286705017089844,9.5367431640625e-07,0
2,MLP-NoRetrain,0.99,0.9919354838709677,122,76,0,2,0.010000000000000009,True,0.0001804828643798828,7.152557373046875e-07,0
3,MLP-NoRetrain,0.99,0.989010989010989,129,69,1,1,0.010000000000000009,True,0.0001804828643798828,9.5367431640625e-07,0
4,MLP-NoRetrain,0.96,0.9579423010079944,132,60,3,5,0.040000000000000036,True,0.0001780986785888672,9.5367431640625e-07,0
5,MLP-NoRetrain,0.98,0.9774700289375775,117,79,3,1,0.020000000000000018,True,0.00018644332885742188,9.5367431640625e-07,0
6,MLP-NoRetrain,0.985,0.9839861281109751,113,84,2,1,0.015000000000000013,True,0.00017905235290527344,7.152557373046875e-07,0
7,MLP-NoRetrain,0.985,0.9797619047619047,139,58,2,1,0.015000000000000013,True,0.000179290771484375,7.152557373046875e-07,0
8,MLP-NoRetrain,0.98,0.9772079772079771,133,63,2,2,0.020000000000000018,True,0.00017786026000976562,9.5367431640625e-07,0
9,MLP-NoRetrain,0.99,0.9890817774866252,128,70,1,1,0.010000000000000009,True,0.0001785755157470703,1.1920928955078125e-06,0
10,MLP-NoRetrain,0.99,0.9891493055555556,127,71,1,1,0.010000000000000009,True,0.0001785755157470703,7.152557373046875e-07,0
11,MLP-NoRetrain,0.98,0.9785499785499786,124,72,2,2,0.020000000000000018,True,0.00017714500427246094,7.152557373046875e-07,0
12,MLP-NoRetrain,0.985,0.9848345588235294,134,63,1,2,0.015000000000000013,True,0.00017690658569335938,7.152557373046875e-07,0
13,MLP-NoRetrain,0.985,0.9873949579831933,116,81,0,3,0.015000000000000013,True,0.00017762184143066406,7.152557373046875e-07,0
14,MLP-NoRetrain,0.99,0.989665150888797,117,81,1,1,0.010000000000000009,True,0.0001766681671142578,7.152557373046875e-07,0
